,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,ts,flow_ct,mean_resp_bytes,std_resp_bytes,mean_duration,std_duration,mean_resp_pkts,std_resp_pkts,mean_orig_pkts,std_orig_pkts,mean_intvl,std_intvl,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,192.168.1.124,8.8.8.8,62733,53,udp,12.599133,4,203.0,205.617768363,0.01294425,0.01453030636,1.25,0.5,1.25,0.5,408.64921,577.903141926,4,0,4,4,4,0,0,4,4,0,4,4,4,4,4,0,0,4,0,0
1,fe80::da58:d7ff:fe00:f72,fe80::7479:68ba:3dc6:1d14,547,546,udp,11.896414,139,0.0,0.0,20.9006373741,20.1099530588,0.0,0.0,7.96402877698,5.17016254607,21312.2953901,2547.95020286,139,0,139,139,139,0,0,139,139,0,139,139,139,139,139,0,0,139,0,0
2,192.168.1.124,193.107.111.164,49159,443,tcp,274.566365,5733,0.0,0.0,28.0633509573,7.18796827473,1.86394557823,0.503629109921,3.83219954649,0.64525969765,514.34633635,685.946901928,5733,0,5733,5733,5733,0,0,5733,5733,0,5733,5733,5733,5733,5733,0,0,5733,0,0
3,fd2d:ab8c:225:0:4c12:56e2:85b1:5cc9,fd2d:ab8c:225::1,52625,53,udp,273.624735,23,93.3913043478,60.994589276,0.0866537826087,0.259320401485,1.0,0.0,1.0,0.0,58.8203566364,82.0127259948,23,0,23,23,23,0,0,23,23,0,23,23,23,23,23,0,0,23,0,0
4,192.168.1.124,78.47.139.102,49158,80,tcp,273.804366,1,226.0,,10.131056,,6.0,,7.0,,,,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
5,192.168.1.124,74.56.177.32,49162,443,tcp,382.579143,5731,0.0,0.0,28.0564239642,7.19872044064,1.86389809806,0.503710580023,3.83388588379,0.647435451157,514.514867828,686.018245626,5731,0,5731,5731,5731,0,0,5731,5731,0,5731,5731,5731,5731,5731,0,0,5731,0,0
6,192.168.1.124,85.132.136.5,49165,443,tcp,490.5844,11456,0.0,0.0,28.0633506015,7.15270537793,1.86522346369,0.501408320251,3.83493365922,0.643597182255,257.24864143,470.448938251,11456,0,11456,11456,11456,0,0,11456,11456,0,11456,11456,11456,11456,11456,0,0,11456,0,0
7,192.168.1.124,138.201.44.28,49168,443,tcp,598.590515,5919,2400.49400237,797.314837379,0.162186286028,1.35617105952,8.11032268964,2.37683989968,8.71464774455,2.65413779886,497.899680749,720.723860687,5919,0,5919,5919,5919,0,0,5919,5919,0,5919,5919,5919,5919,5919,0,0,5919,0,0
8,192.168.1.124,104.250.138.194,49174,443,tcp,754.724926,5727,0.0,0.0,28.0899216008,7.13964718636,1.86589837611,0.500263631661,3.83534136546,0.641683804315,514.609507688,686.021962121,5727,0,5727,5727,5727,0,0,5727,5727,0,5727,5727,5727,5727,5727,0,0,5727,0,0
9,192.168.1.124,46.22.211.34,49177,443,tcp,862.739805,5919,2379.26980909,823.430718218,0.434881184153,2.9272941685,8.12687954046,2.4465117302,8.69842878865,2.68533043751,497.908295754,720.37293303,5919,0,5919,5919,5919,0,0,5919,5919,0,5919,5919,5919,5919,5919,0,0,5919,0,0
10,192.168.1.124,68.179.234.69,49180,443,tcp,911.119279,5727,2448.54740702,727.967590822,3.18411409778,3.34890493958,8.26418718352,2.37452441297,9.0165880915,2.23667022623,514.604350112,721.734000922,5727,0,5727,5727,5727,0,0,5727,5727,0,5727,5727,5727,5727,5727,0,0,5727,0,0
11,192.168.1.124,5.12.28.0,49183,443,tcp,1019.124491,5727,90.0813689541,479.840745951,27.0985472134,8.751014682,2.10371922472,1.38567031362,4.02828706129,1.24331376254,514.604372871,687.419566365,5727,0,5727,5727,5727,0,0,5727,5727,0,5727,5727,5727,5727,5727,0,0,5727,0,0
12,192.168.1.124,36.37.176.6,49186,443,tcp,1127.130114,5727,0.0,0.0,28.0913117112,7.14029944099,1.86589837611,0.500263631661,3.83516675397,0.641775041264,514.609087952,686.018884916,5727,0,5727,5727,5727,0,0,5727,5727,0,5727,5727,5727,5727,5727,0,0,5727,0,0
13,192.168.1.124,213.174.21.162,49191,443,tcp,1285.28713,5546,2212.99008294,1090.70936906,5.74656509899,11.2409961713,7.78200504868,2.79434712461,7.28813559322,1.65552654386,531.41253063,724.475713382,5546,0,5546,5546,5546,0,0,5546,5546,0,5546,5546,5546,5546,5546,0,0,5546,0,0
14,192.168.1.124,37.109.52.75,49189,443,tcp,1235.14541,5407,2141.89809506,651.280948026,5.44953882338,9.20712403695,7.58276308489,1.77741792708,6.83928241169,1.07620622221,545.065493512,730.873579977,5407,0,5407,5407,5407,0,0,5407,5407,0,5407,5407,5407,5407,5407,0,0,5407,0,0
15,192.168.1.124,213.204.124.24,49194,443,tcp,1331.403226,5727,1.39706652698,61.0301155465,28.1341227397,7.19209027363,1.86956521739,0.526218828265,3.83918281823,0.657699418619,514.629996993,685.942547476,5727,0,5727,5727,5727,0,0,5727,5727,0,5727,5727,5727,5727,5727,0,0,5727,0,0
16,192.168.1.124,92.123.143.249,49190,80,tcp,1238.790129,1,52471.0,,114.804761,,38.0,,14.0,,,,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0
