,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,ts,flow_ct,mean_resp_bytes,std_resp_bytes,mean_duration,std_duration,mean_resp_pkts,std_resp_pkts,mean_orig_pkts,std_orig_pkts,mean_intvl,std_intvl,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,10.0.2.15,72.247.178.67,49157,80,tcp,105.63667,1,249.0,,0.281542,,5.0,,5.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1
1,10.0.2.15,192.168.33.254,50126,53,udp,102.807515,14884,157.318664338,83.223765196,0.0680437203037,0.383982773668,1.00302338081,0.0549039389219,1.01242945445,0.179343946709,0.759296083384,3.31604185861,14884,0,14884,14884,14884,0,0,14884,14884,1850,14884,0,14884,14884,14884,0,0,14884,0,14884
2,fe80::69dd:e614:2b2:dfd0,ff02::1:3,52652,5355,udp,102.977584,2,0.0,0.0,0.112323,0.00928572625054,0.0,0.0,2.0,0.0,1350.647971,0.0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,2
3,10.0.2.15,224.0.0.252,63964,5355,udp,102.979667,2,0.0,0.0,0.1116825,0.00973191062947,0.0,0.0,2.0,0.0,1350.646731,0.0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,2
4,10.0.2.15,10.0.2.255,137,137,udp,103.294493,2,0.0,0.0,1.5669025,0.0974230509915,0.0,0.0,3.0,0.0,1350.689251,0.0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,2
5,0.0.0.0,255.255.255.255,68,67,udp,94.468951,1,0.0,,5.013264,,0.0,,3.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1
6,10.0.2.15,255.255.255.255,68,67,udp,102.677174,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1350.460242,0.0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,2
7,10.0.2.15,10.0.2.2,68,67,udp,94.469651,2,1096.0,1549.97806436,4.139955,5.85478050861,2.5,2.12132034356,0.0,0.0,1358.669069,0.0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,2
8,10.0.2.15,52.34.37.177,49165,443,tcp,189.208314,2,3217.5,208.59650045,34.4394405,39.8116285248,16.0,4.24264068712,13.5,3.53553390593,0.636303,0.0,2,0,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,2
9,10.0.2.15,172.217.23.174,49176,80,tcp,191.188788,17,988.235294118,1120.51458767,90.2397612941,78.0246968226,13.2941176471,9.55748859457,14.2352941176,9.47054256474,420.746557688,642.299141726,17,0,17,17,17,0,0,17,17,0,17,0,17,17,17,0,0,17,0,17
