,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,mean_resp_bytes,med_resp_bytes,std_resp_bytes,mean_duration,med_duration,std_duration,mean_resp_pkts,med_resp_pkts,std_resp_pkts,mean_orig_pkts,med_orig_pkts,std_orig_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,10.0.2.103,8.8.8.8,61726,53,udp,98.0518668019,98.0,16.062345332,0.118245347468,0.028783,0.742131838874,0.993916362288,1.0,0.0976108263022,1.01748299253,1.0,0.181215345428,1523595,0,1523595,1523595,0,0,0,1523595,1523595,0,1523595,1523595,1523595,1523595,1523595,0,0,1523595,0,0
1,10.0.2.103,4.4.4.4,61726,53,udp,0.0,0.0,0.0,6.57592837584,7.005583,1.5002016999,0.0,0.0,0.0,3.88349579383,4.0,0.558928167266,44934,0,44934,44934,0,0,0,44934,44934,0,44934,44934,44934,44934,44934,0,0,44934,0,0
2,10.0.2.103,5.2.189.251,49158,80,tcp,157.866684266,159.0,13.3775947418,0.251707147307,0.1835275,0.746959242684,5.95723336853,6.0,0.504814895917,5.96673706441,6.0,0.374740071915,3788,0,3788,3788,0,0,0,3788,3788,0,3788,3788,3788,3788,3788,0,0,3788,0,0
3,fe80::50be:8acf:be49:8c14,ff02::1:2,546,547,udp,0.0,0.0,0.0,63.0178509364,63.0168855,0.0311425262808,0.0,0.0,0.0,7.0,7.0,0.0,6450,0,6450,6450,0,0,0,6450,6450,0,6450,6450,6450,6450,6450,0,0,6450,0,0
4,10.0.2.103,151.80.78.61,49160,80,tcp,170.0,170.0,0.0,0.147198456405,0.052524,0.279078415493,6.0,6.0,0.0,6.0,6.0,0.0,929,0,929,929,0,0,0,929,929,0,929,929,929,929,929,0,0,929,0,0
5,10.0.2.103,195.22.28.199,49161,80,tcp,307.993485342,309.0,17.6163819791,0.20474158089,0.188908,0.185548682684,5.98154180239,6.0,0.324181596051,5.98697068404,6.0,0.271556800465,921,0,921,921,0,0,0,921,921,0,921,921,921,921,921,0,0,921,0,0
6,10.0.2.103,82.165.37.127,49162,80,tcp,304.95952223,305.0,3.5136476735,0.0721483357664,0.06812,0.0704869135079,5.99920371599,6.0,0.0691209378393,6.00053085601,6.0,0.0609606711027,7535,0,7535,7535,0,0,0,7535,7535,0,7535,7535,7535,7535,7535,0,0,7535,0,0
7,10.0.2.103,208.100.26.234,49163,80,tcp,330.27182436,335.0,39.5220375446,0.603537230789,0.400779,0.917401464531,5.91583899634,6.0,0.703845674711,5.95582854156,6.0,0.53468823572,3826,0,3826,3826,0,0,0,3826,3826,0,3826,3826,3826,3826,3826,0,0,3826,0,0
8,10.0.2.103,166.78.145.90,49164,80,tcp,241.551258278,242.0,10.4126292952,0.567156531656,0.466105,1.60208252032,5.99814569536,6.0,0.043027393782,6.0,6.0,0.0,3775,0,3775,3775,0,0,0,3775,3775,0,3775,3775,3775,3775,3775,0,0,3775,0,0
9,10.0.2.103,10.0.2.255,137,137,udp,0.0,0.0,0.0,84.4238820537,30.793828,142.178681003,0.0,0.0,0.0,99.2774504168,42.0,173.460983881,27832,0,27832,27832,0,0,0,27832,27832,0,27832,27832,27832,27832,27832,0,0,27832,0,0
10,10.0.2.103,54.201.30.58,49165,80,tcp,118.779323401,0.0,205.706426642,1.70096483842,0.579759,4.29519667354,1.51115318133,0.0,2.60024154079,2.63486706725,2.0,2.00772852956,12149,0,12149,12149,0,0,0,12149,12149,0,12149,12149,12149,12149,12149,0,0,12149,0,0
11,10.0.2.103,151.80.159.160,49166,80,tcp,139.888771186,140.0,3.94509617299,0.0747362447034,0.050143,0.38079680337,5.99549788136,6.0,0.160234483794,5.99920550847,6.0,0.142817084445,3776,0,3776,3776,0,0,0,3776,3776,0,3776,3776,3776,3776,3776,0,0,3776,0,0
12,10.0.2.103,195.22.28.197,49172,80,tcp,309.0,309.0,0.0,0.209283764458,0.188884,0.1841697083,6.0,6.0,0.0,6.00210304942,6.0,0.0458348741182,951,0,951,951,0,0,0,951,951,0,951,951,951,951,951,0,0,951,0,0
13,10.0.2.103,87.98.254.64,49182,80,tcp,170.0,170.0,0.0,0.113417065662,0.052555,1.02699938999,6.0,6.0,0.0,6.0,6.0,0.0,929,0,929,929,0,0,0,929,929,0,929,929,929,929,929,0,0,929,0,0
14,10.0.2.103,195.22.28.198,49183,80,tcp,309.0,309.0,0.0,0.197919057773,0.188862,0.116377734903,6.0,6.0,0.0,6.00105042017,6.0,0.0324101861776,952,0,952,952,0,0,0,952,952,0,952,952,952,952,952,0,0,952,0,0
15,10.0.2.103,176.31.62.78,49204,80,tcp,170.0,170.0,0.0,0.0883554139037,0.052779,0.140344885362,6.0,6.0,0.0,6.0,6.0,0.0,935,0,935,935,0,0,0,935,935,0,935,935,935,935,935,0,0,935,0,0
16,10.0.2.103,195.22.28.196,49205,80,tcp,309.0,309.0,0.0,0.203313176656,0.188904,0.161483623144,6.0,6.0,0.0,6.00420609884,6.0,0.0647519607882,951,0,951,951,0,0,0,951,951,0,951,951,951,951,951,0,0,951,0,0
17,10.0.2.103,176.31.62.77,49215,80,tcp,170.0,170.0,0.0,0.14706290102,0.0527395,0.279860812821,6.0,6.0,0.0,6.0,6.0,0.0,980,0,980,980,0,0,0,980,980,0,980,980,980,980,980,0,0,980,0,0
18,10.0.2.103,148.81.111.114,49220,80,tcp,108.0,108.0,0.0,0.0703519282084,0.0661035,0.0913382877533,6.99491740788,7.0,0.0711221922474,6.00285895807,6.0,0.0534012200333,3148,0,3148,3148,0,0,0,3148,3148,0,3148,3148,3148,3148,3148,0,0,3148,0,0
