,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,ts,flow_ct,mean_resp_bytes,std_resp_bytes,mean_duration,std_duration,mean_resp_pkts,std_resp_pkts,mean_orig_pkts,std_orig_pkts,mean_intvl,std_intvl,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,192.168.1.123,8.8.8.8,60416,53,udp,14.577742,2,56.0,8.48528137424,0.0047525,0.000183140656327,1.0,0.0,1.0,0.0,0.004954,0.0,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,0
1,fe80::981:b1fd:8de1:811e,ff02::1:3,50225,5355,udp,16.053848,3706,0.0,0.0,0.0981604660011,0.0012673067444,0.0,0.0,2.0,0.0,66.473396227,172.328199038,3706,3706,3706,3706,3706,0,0,3706,3706,0,3706,3706,3706,3706,3706,0,0,3706,0,0
2,192.168.1.126,224.0.0.252,50420,5355,udp,16.054047,3705,0.0,0.0,0.0982461012146,0.00670076051342,0.0,0.0,2.00053981107,0.0328576038727,66.4913426223,172.348004196,3705,3705,3705,3705,3705,0,0,3705,3705,0,3705,3705,3705,3705,3705,0,0,3705,0,0
3,192.168.1.2,224.0.0.251,5353,5353,udp,25.07675,71,0.0,0.0,0.112540915493,0.666187156536,0.0,0.0,1.16901408451,0.99979877251,3497.21830044,447.431246207,71,71,71,71,71,0,0,71,71,0,71,71,71,71,71,0,0,71,0,0
4,fe80::e8ff:97da:2f7f:abb3,ff02::1:3,58983,5355,udp,39.665342,3683,0.0,0.0,0.0982158471355,0.00646265638609,0.0,0.0,2.00027151778,0.0368494761129,66.8848214916,128.712275498,3683,3683,3683,3683,3683,0,0,3683,3683,0,3683,3683,3683,3683,3683,0,0,3683,0,0
5,192.168.1.115,224.0.0.252,53050,5355,udp,39.665577,3683,0.0,0.0,0.0981198894923,0.00130514904321,0.0,0.0,2.0,0.0,66.8846953118,128.712341153,3683,3683,3683,3683,3683,0,0,3683,3683,0,3683,3683,3683,3683,3683,0,0,3683,0,0
6,192.168.1.122,192.168.1.255,137,137,udp,57.021482,4130,0.0,0.0,7.9088954569,9.04823013625,0.0,0.0,9.15544794189,6.75449497225,59.6353560857,22.0453212289,4130,4130,4130,4130,4130,0,0,4130,4130,0,4130,4130,4130,4130,4130,0,0,4130,0,0
7,192.168.1.130,239.255.255.250,61109,1900,udp,33.419986,4,0.0,0.0,4.975,0.715693406499,0.0,0.0,3.0,0.0,84.0568896667,51.8200481915,4,4,4,4,4,0,0,4,4,0,4,4,4,4,4,0,0,4,0,0
8,fe80::4c7b:f8cd:4e3e:dd3c,ff02::1:2,546,547,udp,12.909355,12,0.0,0.0,21.8680004167,21.10507562,0.0,0.0,8.58333333333,6.12681636642,21622.9701922,21.177728211,12,12,12,12,12,0,0,12,12,0,12,12,12,12,12,0,0,12,0,0
9,fe80::da58:d7ff:fe00:f72,fe80::4c7b:f8cd:4e3e:dd3c,547,546,udp,12.974271,12,0.0,0.0,22.2230500833,21.5388921781,0.0,0.0,8.58333333333,6.12681636642,21622.9644144,21.1713834084,12,12,12,12,12,0,0,12,12,0,12,12,12,12,12,0,0,12,0,0
10,fe80::1e6f:65ff:fec0:4392,ff02::1:2,546,547,udp,142.856078,410,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,601.373674756,34.8387633448,410,410,410,410,410,0,0,410,410,0,410,410,410,410,410,0,0,410,0,0
