srcIP,destIP,destPt,protocol,startTime,flowct,mean_dest_bytes,stdev_dest_bytes,mean_dest_pkts,stdev_dest_pkts,mean_duration,stdev_duration,mean_intvl,stdev_intvl,mean_src_bytes,stdev_src_bytes,mean_src_pkts,stdev_src_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
10.0.2.107,8.8.8.8,53,udp,9.234898,11788,49.26425178,4.993881707,0.99499491,0.02816412,0.041064141,0.071367495,9.094758235,11.55707416,32.95181541,3.818539451,1.005174754,0.013280169,0,0,11788,0,0,0,0,0,0,0,0,0,11695,0,0,0,0,0,0,0
10.0.2.107,8.8.4.4,53,udp,10.230008,413,42.73849879,14.95310126,1.150121065,0.241541311,0.663034375,0.873253265,255.930924,570.6336394,44.42857143,19.948854,1.360774818,0.54066609,0,0,413,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0
fe80::d08d:ffd6:56a5:c2db,ff02::1:2,547,udp,6.705046,251,0,0,0,0,63.01919208,0.005503403,427.0886718,0.95086215,588,0,7,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,65.55.172.254,25,tcp,374.035132,1,58,0,4,0,0.001276,0,0,0,0,0,5,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0
10.0.2.107,89.19.17.218,80,tcp,382.172138,6,16671.5,11206.95278,18.16666667,12.19722222,5.322531333,2.4538383,17286.30801,21162.26024,390.5,260.8138889,9.666666667,5.463888889,3,0,3,0,0,0,0,3,4,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,192.168.100.1,80,tcp,382.173637,6,0,0,0,0,1.497178167,1.115321394,17288.12277,21162.52563,0,0,1.5,0.372222222,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,74.119.145.130,80,tcp,382.171431,3,7466,0,9,0,0.903847667,0.274436278,43215.77074,1.0457445,815,6.666666667,7,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,185.2.130.31,80,tcp,382.226246,3,11404,1.666666667,16,1.166666667,0.330389,0.044477667,43216.38618,0.6615285,766,8.666666667,8.666666667,0.222222222,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
10.0.2.107,67.192.11.8,80,tcp,383.177293,6,0,0,0,0,1.509468333,1.120063597,17287.92201,21162.25199,0,0,1.5,0.372222222,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10.0.2.107,99.192.154.182,80,tcp,383.010067,3,31160,0,26,0,0.920487,0.178574167,43219.24478,5.1412715,782.6666667,8.888888889,11,0,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
