,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,ts,flow_ct,mean_resp_bytes,std_resp_bytes,mean_duration,std_duration,mean_resp_pkts,std_resp_pkts,mean_orig_pkts,std_orig_pkts,mean_intvl,std_intvl,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,192.168.1.155,192.168.1.239,1363,445,tcp,1252782452.87,639,335.6885759,63.3635456171,0.00283326760563,0.000334212336629,4.01095461659,0.413190274893,6.00938967136,0.426297874378,1.01638874925,24.0776359163,639,558,639,639,637,0,0,639,639,0,639,366,639,639,639,0,0,639,0,0
1,192.168.1.239,192.168.1.155,139,1269,tcp,1252782452.96,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.10996794701,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
2,192.168.1.247,212.74.100.151,1588,25,tcp,1252782452.99,21,72.0,0.0,0.621880809524,0.163502360514,3.95238095238,0.218217890236,3.90476190476,0.538958431121,0.836873245239,1.09250613548,21,12,21,21,21,0,0,21,21,0,21,1,21,21,21,0,0,21,0,0
3,192.168.1.239,192.168.1.155,139,1273,tcp,1252782453.06,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01525497437,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
4,192.168.1.243,217.146.188.189,1351,25,tcp,1252782452.9,100,143.56,25.3740979837,0.73446169,0.231024650558,3.88,0.537107855542,3.81,0.720479638221,0.214820464452,0.232653909874,100,75,100,100,100,0,0,100,100,0,100,10,100,100,100,0,0,100,0,0
5,192.168.1.247,194.106.220.67,1590,25,tcp,1252782453.13,2,126.0,0.0,0.289461,0.407997784318,3.5,0.707106781187,3.0,1.41421356237,9.68499994278,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
6,192.168.1.239,192.168.1.155,139,1281,tcp,1252782453.16,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.12466597557,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
7,192.168.1.239,192.168.1.155,139,1275,tcp,1252782453.16,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0152490139,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
8,192.168.1.239,81.136.161.112,1489,25,tcp,1252782453.16,18,0.0,0.0,0.997229944444,1.4521326032,0.0,0.0,1.33333333333,0.485071250073,2.62485017496,4.52079510952,18,11,18,18,18,0,0,18,18,0,18,4,18,18,18,0,0,18,0,0
9,192.168.1.239,192.168.1.155,139,1277,tcp,1252782453.16,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01525878906,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
10,192.168.1.239,192.168.1.155,139,1279,tcp,1252782453.27,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01531910896,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
11,192.168.1.239,192.168.1.155,139,1283,tcp,1252782453.27,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.1246471405,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
12,192.168.1.91,158.94.254.14,3760,25,tcp,1252782453.03,40,402.775,59.0786036587,17.28270905,5.58975719692,7.925,1.22762017011,6.725,0.933356226825,5.16649261499,10.5023893879,40,39,40,40,40,0,0,40,40,0,40,36,40,40,40,0,0,40,0,0
13,192.168.1.239,193.35.157.15,1492,25,tcp,1252782453.03,12,740.5,239.936923529,4.09176708333,1.64977916415,14.5,4.37970526198,13.25,4.15878041563,5.16275919567,7.46914224837,12,11,12,12,12,0,0,12,12,0,12,10,12,12,12,0,0,12,0,0
14,192.168.1.243,217.27.240.22,1343,25,tcp,1252782453.06,11,320.272727273,77.2633042383,1.48342790909,0.622021130719,7.18181818182,1.60113596038,6.90909090909,2.02259958739,1.68316390514,3.03978467364,11,5,11,11,11,0,0,11,11,0,11,2,11,11,11,0,0,11,0,0
15,192.168.1.239,192.168.1.155,139,1285,tcp,1252782453.38,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01536107063,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
16,192.168.1.239,192.168.1.155,139,1287,tcp,1252782453.38,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01534795761,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
17,192.168.1.239,192.168.1.155,139,1289,tcp,1252782453.49,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01533889771,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
18,192.168.1.239,192.168.1.155,139,1291,tcp,1252782453.49,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01533484459,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
19,192.168.1.239,192.168.1.155,139,1293,tcp,1252782453.6,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01541399956,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
20,192.168.1.239,192.168.1.155,139,1295,tcp,1252782453.6,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01542496681,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
21,192.168.1.247,212.74.100.152,1593,25,tcp,1252782452.99,21,72.0,0.0,0.686374809524,0.0319762282072,4.0,0.0,4.0,0.0,0.868522393703,1.07477260077,21,12,21,21,21,0,0,21,21,0,21,1,21,21,21,0,0,21,0,0
22,192.168.1.239,192.168.1.155,139,1298,tcp,1252782453.84,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.99967598915,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
23,192.168.1.239,192.168.1.155,139,1300,tcp,1252782453.93,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.03088712692,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
24,192.168.1.239,192.168.1.155,139,1302,tcp,1252782453.93,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.03087306023,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
25,192.168.1.239,192.168.1.155,139,1306,tcp,1252782454.04,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01530003548,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
26,192.168.1.239,192.168.1.155,139,1308,tcp,1252782454.15,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01533699036,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
27,192.168.1.239,192.168.1.155,139,1310,tcp,1252782454.15,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01533699036,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
28,192.168.1.239,192.168.1.155,139,1312,tcp,1252782454.26,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.90586781502,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
29,192.168.1.239,192.168.1.155,139,1314,tcp,1252782454.37,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.03090500832,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
30,192.168.1.239,192.168.1.155,139,1316,tcp,1252782454.37,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.03091192245,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
31,192.168.1.239,192.168.1.155,139,1318,tcp,1252782454.37,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.03091192245,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
32,192.168.1.247,212.74.100.147,1600,25,tcp,1252782453.74,21,72.0,0.0,0.691508714286,0.0414505094989,4.0,0.0,4.0,0.0,0.865734195709,1.06005798793,21,12,21,21,21,0,0,21,21,0,21,1,21,21,21,0,0,21,0,0
33,192.168.1.239,192.168.1.155,139,1320,tcp,1252782454.48,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01534199715,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
34,192.168.1.239,192.168.1.155,139,1322,tcp,1252782454.48,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01534199715,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
35,192.168.1.239,192.168.1.155,139,1324,tcp,1252782454.48,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0153529644,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
36,192.168.1.247,85.158.141.190,1595,25,tcp,1252782453.13,2,220.0,0.0,3.173389,2.53202917528,8.5,0.707106781187,7.5,0.707106781187,10.2619228363,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
37,192.168.1.239,192.168.1.155,139,1128,tcp,1252782454.59,1,0.0,,0.0,,0.0,,1.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
38,192.168.1.239,192.168.1.155,139,1126,tcp,1252782454.59,1,0.0,,0.0,,0.0,,1.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
39,192.168.1.239,192.168.1.155,139,1326,tcp,1252782454.59,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01536297798,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
40,192.168.1.243,217.27.240.23,1352,25,tcp,1252782453.16,8,346.375,24.3951839509,3.072666375,2.79223420179,8.0,0.925820099773,7.5,1.06904496765,1.35167029926,1.59511141809,8,4,8,8,8,0,0,8,8,0,8,2,8,8,8,0,0,8,0,0
41,192.168.1.239,192.168.1.155,139,1130,tcp,1252782454.7,1,0.0,,0.0,,0.0,,1.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
42,192.168.1.239,192.168.1.155,139,1132,tcp,1252782454.7,1,0.0,,0.0,,0.0,,1.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
43,192.168.1.239,192.168.1.155,139,1134,tcp,1252782454.7,1,0.0,,0.0,,0.0,,1.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
44,192.168.1.239,192.168.1.155,139,1136,tcp,1252782454.81,1,0.0,,0.0,,0.0,,1.0,,,,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
45,192.168.1.239,192.168.1.155,139,1332,tcp,1252782454.81,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0152618885,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
46,192.168.1.239,192.168.1.155,139,1334,tcp,1252782454.81,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0152630806,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
47,192.168.1.239,192.168.1.155,139,1336,tcp,1252782454.91,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.01523208618,0.0,2,1,2,2,2,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
