,id.orig_h,id.resp_h,id.orig_p,id.resp_p,proto,ts,flow_ct,mean_resp_bytes,std_resp_bytes,mean_duration,std_duration,mean_resp_pkts,std_resp_pkts,mean_orig_pkts,std_orig_pkts,mean_intvl,std_intvl,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
0,192.168.1.111,224.0.0.251,5353,5353,udp,1493726302.41,1,0.0,,2.969549,,0.0,,4.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
1,fe80::6529:a551:88b9:f0ca,ff02::fb,5353,5353,udp,1493726302.41,1,0.0,,2.969497,,0.0,,4.0,,,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1
2,192.168.1.191,192.168.33.254,51564,53,udp,1493726314.7,4447,458.081852935,155.619116878,0.120451543063,0.519653682389,1.92579266922,0.31726152695,1.93793568698,0.327503077495,0.251922403753,1.25819607383,4447,0,4447,4447,4447,0,0,4447,4447,4447,4447,0,4447,4447,4447,0,0,4447,0,4447
3,192.168.1.191,172.217.23.227,36016,80,tcp,1493726324.62,19,93321.6842105,130689.646964,88.0370458947,85.8343086293,77.7894736842,101.743456763,69.4736842105,88.3121788638,48.4689647224,113.064172099,19,0,19,19,19,0,0,19,19,19,19,0,19,19,19,0,0,19,0,19
4,192.168.1.191,54.192.93.169,36478,443,tcp,1493726320.65,2,3710.0,0.0,5.8016405,0.118318056376,9.0,0.0,12.0,0.0,0.893655061722,0.0,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2
5,192.168.1.191,54.200.62.216,46014,443,tcp,1493726319.9,2,6821.5,9398.15622875,34.57317,40.0292880129,15.0,9.89949493661,19.0,12.7279220614,1.43804812431,0.0,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2
6,192.168.1.191,172.217.23.234,55840,80,tcp,1493726324.2,19,14000.1578947,43448.1825911,31.4294698421,47.4624985597,16.3157894737,27.3354727447,16.1578947368,21.1876881385,59.9265203873,120.985533853,19,0,19,19,19,0,0,19,19,19,19,0,19,19,19,0,0,19,0,19
7,192.168.1.191,192.124.249.10,40252,80,tcp,1493726330.77,8,53217.75,47505.858017,131.492719625,89.0033810953,58.5,28.1982775563,49.625,16.5955028332,12.7055491379,31.0608246351,8,0,8,8,8,0,0,8,8,8,8,0,8,8,8,0,0,8,0,8
8,192.168.1.191,188.121.36.239,39040,80,tcp,1493726327.18,12,7999.41666667,11704.7902661,77.9735860833,117.054568025,23.4166666667,30.814572507,24.0833333333,29.3860150205,92.3068129149,103.630464379,12,0,12,12,12,0,0,12,12,12,12,0,12,12,12,0,0,12,0,12
9,192.168.1.191,95.100.177.79,39108,80,tcp,1493726331.02,2,19673.5,27822.5305193,60.4741855,77.964728902,20.5,26.1629509039,22.5,26.1629509039,0.000101089477539,0.0,2,0,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,2,0,2
